"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"1001002-01","","佐賀駅バスセンター 1番のりば","","33.26451","130.29974","1001002-01","","0","1001002","",""
"1005023-20","","佐賀学園北(2)","","33.2677","130.30051","1005023-20","","0","1005023","",""
"1005024-20","","夢咲公園(2)","","33.26845","130.30363","1005024-20","","0","1005024","",""
"1005025-20","","ほほえみ館前(2)","","33.26884","130.30504","1005025-20","","0","1005025","",""
"1005026-20","","夢咲コスモスタウン南(2)","","33.269448","130.30813","1005026-20","","0","1005026","",""
"1005027-20","","夢咲コスモスタウン(2)","","33.27144","130.30849","1005027-20","","0","1005027","",""
"1005028-20","","夢咲コスモスタウン北(2)","","33.2734","130.308","1005028-20","","0","1005028","",""
"1005031-00","","ゆめタウン佐賀","","33.27497","130.30783","1005031-00","","0","1005031","",""
"1005028-10","","夢咲コスモスタウン北(1)","","33.27335","130.30812","1005028-10","","0","1005028","",""
"1005027-10","","夢咲コスモスタウン(1)","","33.27088","130.30873","1005027-10","","0","1005027","",""
"1005026-10","","夢咲コスモスタウン南(1)","","33.26914","130.30754","1005026-10","","0","1005026","",""
"1005025-10","","ほほえみ館前(1)","","33.26872","130.30528","1005025-10","","0","1005025","",""
"1005024-10","","夢咲公園(1)","","33.26836","130.30351","1005024-10","","0","1005024","",""
"1005023-10","","佐賀学園北(1)","","33.26755","130.30011","1005023-10","","0","1005023","",""
"1005029-20","","佐賀清和学園前(2)","","33.27059","130.31064","1005029-20","","0","1005029","",""
"1005030-20","","ぽかぽか温泉前(2)","","33.27265","130.31079","1005030-20","","0","1005030","",""
"1005030-10","","ぽかぽか温泉前(1)","","33.27275","130.31064","1005030-10","","0","1005030","",""
"1005029-10","","佐賀清和学園前(1)","","33.27034","130.3105","1005029-10","","0","1005029","",""
"1001002-03","","佐賀駅バスセンター 3番のりば","","33.26443","130.29936","1001002-03","","0","1001002","",""
"1002003-10","","市役所前(1)","","33.263755","130.300205","1002003-10","","0","1002003","",""
"1002004-20","","駅南本町(2)","","33.261857","130.298712","1002004-20","","0","1002004","",""
"1002005-20","","唐人町(2)","","33.25875","130.299111","1002005-20","","0","1002005","",""
"1002006-20","","白山(2)","","33.255358","130.299751","1002006-20","","0","1002006","",""
"1002007-20","","中の小路(2)","","33.254056","130.299978","1002007-20","","0","1002007","",""
"1002008-20","","佐賀県庁前(2)","","33.251526","130.30029","1002008-20","","0","1002008","",""
"1006032-20","","こころざしのもり(2)","","33.2484","130.30063","1006032-20","","0","1006032","",""
"1006033-20","","サガテレビ前(2)","","33.24727","130.30084","1006033-20","","0","1006033","",""
"1006034-00","","佐賀城跡","","33.2467","130.30214","1006034-00","","0","1006034","",""
"1001002-04","","佐賀駅バスセンター 4番のりば","","33.26442","130.29926","1001002-04","","0","1001002","",""
"1030219-02","","堀江通(2)","","33.26412","130.29416","1030219-02","","0","1030219","",""
"1024168-02","","どんどんどんの森東(2)","","33.2628","130.2935","1024168-02","","0","1024168","",""
"1058324-20","","どんどんどんの森前(2)","","33.25914","130.29182","1058324-20","","0","1058324","",""
"1058325-20","","多布施(2)","","33.25898","130.29041","1058325-20","","0","1058325","",""
"1058326-20","","多布施橋(2)","","33.25855","130.28633","1058326-20","","0","1058326","",""
"1058327-20","","佐賀工業高校前(2)","","33.2579","130.28421","1058327-20","","0","1058327","",""
"1058328-20","","中折(2)","","33.25735","130.2823","1058328-20","","0","1058328","",""
"1058329-20","","北高前(2)","","33.25642","130.27798","1058329-20","","0","1058329","",""
